cycle,Q_charge_Ah,Q_dis_Ah,coul_eff,energy_eff,Tmax_C,Vmin_V,Vmax_V,Q_model_Ah,R_model_ohm,condition
42,3.9,3.8833333333333333,0.9957264957264957,1.278387295124583,39.28823588332937,2.7007226064519614,4.468024644109027,4.8518001828646735,0.021516025942853286,stress_35C_2C
43,3.9,3.8833333333333333,0.9957264957264957,1.2786765744679958,39.29667066367488,2.7003270625026614,4.468852626197184,4.850328096596997,0.02155834706456263,stress_35C_2C
44,3.9,3.8833333333333333,0.9957264957264957,1.278914118166182,39.30423869519866,2.70001012869236,4.470150476788549,4.847000269601418,0.021596319313998625,stress_35C_2C
45,3.8944444444444444,3.8777777777777778,0.9957203994293866,1.279202930918515,39.31179245047376,2.6996937773757494,4.469429328310623,4.84343980116839,0.021634683912747563,stress_35C_2C
46,3.8944444444444444,3.8777777777777778,0.9957203994293866,1.2794166643325626,39.31868946322077,2.6994098207552004,4.470681976892191,4.840158512902198,0.021669290098559613,stress_35C_2C
47,3.888888888888889,3.8722222222222222,0.9957142857142858,1.2796950448600968,39.326199221345554,2.699111426795359,4.47018410311546,4.835778248322282,0.02170743939583583,stress_35C_2C
48,3.888888888888889,3.8722222222222222,0.9957142857142858,1.2799141979413777,39.33296602718187,2.69881669902359,4.471176493205225,4.8334166606713085,0.02174139299345815,stress_35C_2C
49,3.8833333333333333,3.8666666666666667,0.9957081545064378,1.2802375330355968,39.341320609581324,2.6984517854633365,4.470365204954782,4.830311980087215,0.02178378691907567,stress_35C_2C
50,3.8833333333333333,3.8666666666666667,0.9957081545064378,1.2804493990909906,39.34840240099422,2.6981736860569168,4.471844479234979,4.826257723940734,0.021819321782546457,stress_35C_2C
51,3.8777777777777778,3.861111111111111,0.995702005730659,1.280695416252336,39.354997479205,2.6979194813969496,4.47128568733281,4.821920659370195,0.021852892468217033,stress_35C_2C
52,3.8777777777777778,3.861111111111111,0.995702005730659,1.280933959358529,39.36271915852015,2.697601594239125,4.472711180888572,4.818181879916176,0.0218916389952943,stress_35C_2C
53,3.8722222222222222,3.8555555555555556,0.9956958393113343,1.2812195297255842,39.37041163337884,2.6972923847531938,4.472217209623098,4.813805564637445,0.02193072190642483,stress_35C_2C
54,3.8666666666666667,3.85,0.9956896551724138,1.2814453433310085,39.37633510998388,2.697064748959405,4.471524937798872,4.809819598642535,0.02196093271376039,stress_35C_2C
55,3.8666666666666667,3.85,0.9956896551724138,1.2816569935449376,39.38304113687308,2.6967813987528837,4.472651973855524,4.8069764671135164,0.02199458429701203,stress_35C_2C
56,3.861111111111111,3.8444444444444446,0.99568345323741,1.2819213283021391,39.390190707699,2.696502794227368,4.4721757785830905,4.802438547115272,0.022030953238255553,stress_35C_2C
57,3.861111111111111,3.8444444444444446,0.99568345323741,1.2821872310138027,39.398511283012205,2.696146023980891,4.473495242256288,4.7992009839756635,0.02207270773546218,stress_35C_2C
58,3.8555555555555556,3.838888888888889,0.9956772334293948,1.2825206326911198,39.40690230781869,2.695765534508414,4.472489535565217,4.7967753999612,0.02211531253507471,stress_35C_2C
59,3.8555555555555556,3.838888888888889,0.9956772334293948,1.2827962215133968,39.41569701384114,2.695397870521279,4.474022854656901,4.792862644358608,0.02215944731700436,stress_35C_2C
60,3.85,3.8333333333333335,0.9956709956709957,1.283071558872669,39.42325086850482,2.695106254110997,4.473665221683086,4.787963663976229,0.022197857036197567,stress_35C_2C
61,3.85,3.8333333333333335,0.9956709956709957,1.2832789929233435,39.43028755413622,2.6948340710936542,4.475215095100135,4.78368381861432,0.022233170281206024,stress_35C_2C
62,3.8444444444444446,3.827777777777778,0.9956647398843931,1.2835147533751647,39.43656553049614,2.6945955053323813,4.474625799883417,4.779380417230872,0.022265182804875428,stress_35C_2C
63,3.838888888888889,3.8222222222222224,0.9956584659913169,1.2838196995452744,39.444558914555145,2.6942598807157223,4.473956661053353,4.775659211747445,0.022305809237355614,stress_35C_2C
64,3.838888888888889,3.8222222222222224,0.9956584659913169,1.2840732294802217,39.45209384150481,2.6939161736496757,4.474842650731509,4.773843270772402,0.022343624608101634,stress_35C_2C
65,3.838888888888889,3.8222222222222224,0.9956584659913169,1.2843353982842003,39.46056973813302,2.6935682257626476,4.476408681570607,4.7697759357922145,0.02238616240250143,stress_35C_2C
66,3.8333333333333335,3.816666666666667,0.9956521739130435,1.2846787967831554,39.469600687518195,2.6931801796890555,4.475781829360579,4.76608589798374,0.022432003281985795,stress_35C_2C
67,3.8333333333333335,3.816666666666667,0.9956521739130435,1.2850331581910073,39.47985971700387,2.6926974227587284,4.476769040550973,4.764399508832043,0.022483491233411805,stress_35C_2C
68,3.827777777777778,3.811111111111111,0.9956458635703918,1.2853084244782993,39.48682930344144,2.692401777972808,4.475872319715265,4.761292062204338,0.02251899307874136,stress_35C_2C
